id,code,question,reference,prediction,metric,score
q4,def receive message topic name subscription name pubsub client pubsub Client topic pubsub client topic topic name subscription topic subscription subscription name results subscription pull return immediately True print ' Received{}messages ' format len results for ack id message in results print '*{} {} {}' format message message id message data message attributes if results subscription acknowledge [ack id for ack id message in results],What does the code receive from a pull subscription ?,a message,"Yes, messages",accuracy,2
q4,def receive message topic name subscription name pubsub client pubsub Client topic pubsub client topic topic name subscription topic subscription subscription name results subscription pull return immediately True print ' Received{}messages ' format len results for ack id message in results print '*{} {} {}' format message message id message data message attributes if results subscription acknowledge [ack id for ack id message in results],What does the code receive from a pull subscription ?,a message,"Yes, messages",completeness,1
q4,def receive message topic name subscription name pubsub client pubsub Client topic pubsub client topic topic name subscription topic subscription subscription name results subscription pull return immediately True print ' Received{}messages ' format len results for ack id message in results print '*{} {} {}' format message message id message data message attributes if results subscription acknowledge [ack id for ack id message in results],What does the code receive from a pull subscription ?,a message,"Yes, messages",relevance,3
q4,def receive message topic name subscription name pubsub client pubsub Client topic pubsub client topic topic name subscription topic subscription subscription name results subscription pull return immediately True print ' Received{}messages ' format len results for ack id message in results print '*{} {} {}' format message message id message data message attributes if results subscription acknowledge [ack id for ack id message in results],What does the code receive from a pull subscription ?,a message,"Yes, messages",clarity,2
q5,def Create Shared Budget client budget service client Get Service ' Budget Service' version 'v 201609 ' budget {'name' ' Shared Interplanetary Budget#%s' % uuid uuid 4 'amount' {'micro Amount' '2000000 '} 'delivery Method' 'STANDARD' 'is Explicitly Shared' 'true'}operation {'operator' 'ADD' 'operand' budget}response budget service mutate [operation] return response['value'][ 0 ],What be an explicit budget used only ?,to create the campaign,Explicit Budget,accuracy,2
q5,def Create Shared Budget client budget service client Get Service ' Budget Service' version 'v 201609 ' budget {'name' ' Shared Interplanetary Budget#%s' % uuid uuid 4 'amount' {'micro Amount' '2000000 '} 'delivery Method' 'STANDARD' 'is Explicitly Shared' 'true'}operation {'operator' 'ADD' 'operand' budget}response budget service mutate [operation] return response['value'][ 0 ],What be an explicit budget used only ?,to create the campaign,Explicit Budget,completeness,1
q5,def Create Shared Budget client budget service client Get Service ' Budget Service' version 'v 201609 ' budget {'name' ' Shared Interplanetary Budget#%s' % uuid uuid 4 'amount' {'micro Amount' '2000000 '} 'delivery Method' 'STANDARD' 'is Explicitly Shared' 'true'}operation {'operator' 'ADD' 'operand' budget}response budget service mutate [operation] return response['value'][ 0 ],What be an explicit budget used only ?,to create the campaign,Explicit Budget,relevance,3
q5,def Create Shared Budget client budget service client Get Service ' Budget Service' version 'v 201609 ' budget {'name' ' Shared Interplanetary Budget#%s' % uuid uuid 4 'amount' {'micro Amount' '2000000 '} 'delivery Method' 'STANDARD' 'is Explicitly Shared' 'true'}operation {'operator' 'ADD' 'operand' budget}response budget service mutate [operation] return response['value'][ 0 ],What be an explicit budget used only ?,to create the campaign,Explicit Budget,clarity,2
q6,def Create Shared Budget client budget service client Get Service ' Budget Service' version 'v 201609 ' budget {'name' ' Shared Interplanetary Budget#%s' % uuid uuid 4 'amount' {'micro Amount' '2000000 '} 'delivery Method' 'STANDARD' 'is Explicitly Shared' 'true'}operation {'operator' 'ADD' 'operand' budget}response budget service mutate [operation] return response['value'][ 0 ],Be an explicit budget used to create the campaign only ?,Yes,Yes,accuracy,3
q6,def Create Shared Budget client budget service client Get Service ' Budget Service' version 'v 201609 ' budget {'name' ' Shared Interplanetary Budget#%s' % uuid uuid 4 'amount' {'micro Amount' '2000000 '} 'delivery Method' 'STANDARD' 'is Explicitly Shared' 'true'}operation {'operator' 'ADD' 'operand' budget}response budget service mutate [operation] return response['value'][ 0 ],Be an explicit budget used to create the campaign only ?,Yes,Yes,completeness,3
q6,def Create Shared Budget client budget service client Get Service ' Budget Service' version 'v 201609 ' budget {'name' ' Shared Interplanetary Budget#%s' % uuid uuid 4 'amount' {'micro Amount' '2000000 '} 'delivery Method' 'STANDARD' 'is Explicitly Shared' 'true'}operation {'operator' 'ADD' 'operand' budget}response budget service mutate [operation] return response['value'][ 0 ],Be an explicit budget used to create the campaign only ?,Yes,Yes,relevance,3
q6,def Create Shared Budget client budget service client Get Service ' Budget Service' version 'v 201609 ' budget {'name' ' Shared Interplanetary Budget#%s' % uuid uuid 4 'amount' {'micro Amount' '2000000 '} 'delivery Method' 'STANDARD' 'is Explicitly Shared' 'true'}operation {'operator' 'ADD' 'operand' budget}response budget service mutate [operation] return response['value'][ 0 ],Be an explicit budget used to create the campaign only ?,Yes,Yes,clarity,3
q7,def Create Shared Budget client budget service client Get Service ' Budget Service' version 'v 201609 ' budget {'name' ' Shared Interplanetary Budget#%s' % uuid uuid 4 'amount' {'micro Amount' '2000000 '} 'delivery Method' 'STANDARD' 'is Explicitly Shared' 'true'}operation {'operator' 'ADD' 'operand' budget}response budget service mutate [operation] return response['value'][ 0 ],What be used to create the campaign only ?,an explicit budget,Explicit Budget,accuracy,3
q7,def Create Shared Budget client budget service client Get Service ' Budget Service' version 'v 201609 ' budget {'name' ' Shared Interplanetary Budget#%s' % uuid uuid 4 'amount' {'micro Amount' '2000000 '} 'delivery Method' 'STANDARD' 'is Explicitly Shared' 'true'}operation {'operator' 'ADD' 'operand' budget}response budget service mutate [operation] return response['value'][ 0 ],What be used to create the campaign only ?,an explicit budget,Explicit Budget,completeness,2
q7,def Create Shared Budget client budget service client Get Service ' Budget Service' version 'v 201609 ' budget {'name' ' Shared Interplanetary Budget#%s' % uuid uuid 4 'amount' {'micro Amount' '2000000 '} 'delivery Method' 'STANDARD' 'is Explicitly Shared' 'true'}operation {'operator' 'ADD' 'operand' budget}response budget service mutate [operation] return response['value'][ 0 ],What be used to create the campaign only ?,an explicit budget,Explicit Budget,relevance,3
q7,def Create Shared Budget client budget service client Get Service ' Budget Service' version 'v 201609 ' budget {'name' ' Shared Interplanetary Budget#%s' % uuid uuid 4 'amount' {'micro Amount' '2000000 '} 'delivery Method' 'STANDARD' 'is Explicitly Shared' 'true'}operation {'operator' 'ADD' 'operand' budget}response budget service mutate [operation] return response['value'][ 0 ],What be used to create the campaign only ?,an explicit budget,Explicit Budget,clarity,3
q8,def get Plugins Directory Path return archive get Absolute Frozen Folder Path file 'xml plugins',What does the code get ?,the plugins directory path,"
Plugins Directory Path",accuracy,2
q8,def get Plugins Directory Path return archive get Absolute Frozen Folder Path file 'xml plugins',What does the code get ?,the plugins directory path,"
Plugins Directory Path",completeness,3
q8,def get Plugins Directory Path return archive get Absolute Frozen Folder Path file 'xml plugins',What does the code get ?,the plugins directory path,"
Plugins Directory Path",relevance,3
q8,def get Plugins Directory Path return archive get Absolute Frozen Folder Path file 'xml plugins',What does the code get ?,the plugins directory path,"
Plugins Directory Path",clarity,3
q9,def get Plugins Directory Path return archive get Absolute Frozen Folder Path file 'xml plugins',Does the code get the plugins directory path ?,Yes,"Yes, it does.",accuracy,3
q9,def get Plugins Directory Path return archive get Absolute Frozen Folder Path file 'xml plugins',Does the code get the plugins directory path ?,Yes,"Yes, it does.",completeness,2
q9,def get Plugins Directory Path return archive get Absolute Frozen Folder Path file 'xml plugins',Does the code get the plugins directory path ?,Yes,"Yes, it does.",relevance,3
q9,def get Plugins Directory Path return archive get Absolute Frozen Folder Path file 'xml plugins',Does the code get the plugins directory path ?,Yes,"Yes, it does.",clarity,3
q10,def ffmpeg write image filename image logfile False if image dtype 'uint 8 ' image image astype 'uint 8 ' cmd [get setting 'FFMPEG BINARY' '-y' '-s' '%dx%d' % image shape[ 2][ -1 ] '-f' 'rawvideo' '-pix fmt' 'rgba' if image shape[ 2 ] 4 else 'rgb 24 ' '-i' '-' filename]if logfile log file open filename + ' log' 'w+' else log file sp PIP Epopen params {'stdout' DEVNULL 'stderr' log file 'stdin' sp PIPE}if os name 'nt' popen params['creationflags'] 134217728 proc sp Popen cmd **popen params out err proc communicate image tostring if proc returncode err '\n' join [ '[ Movie Py] Running %s\n' % cmd 'WARNING thiscommandreturnedanerror ' err decode 'utf 8 ' ] raise IO Error err del proc,What does the code write to a file ?,an image,"Yes, it writes an image file.",accuracy,2
q10,def ffmpeg write image filename image logfile False if image dtype 'uint 8 ' image image astype 'uint 8 ' cmd [get setting 'FFMPEG BINARY' '-y' '-s' '%dx%d' % image shape[ 2][ -1 ] '-f' 'rawvideo' '-pix fmt' 'rgba' if image shape[ 2 ] 4 else 'rgb 24 ' '-i' '-' filename]if logfile log file open filename + ' log' 'w+' else log file sp PIP Epopen params {'stdout' DEVNULL 'stderr' log file 'stdin' sp PIPE}if os name 'nt' popen params['creationflags'] 134217728 proc sp Popen cmd **popen params out err proc communicate image tostring if proc returncode err '\n' join [ '[ Movie Py] Running %s\n' % cmd 'WARNING thiscommandreturnedanerror ' err decode 'utf 8 ' ] raise IO Error err del proc,What does the code write to a file ?,an image,"Yes, it writes an image file.",completeness,1
q10,def ffmpeg write image filename image logfile False if image dtype 'uint 8 ' image image astype 'uint 8 ' cmd [get setting 'FFMPEG BINARY' '-y' '-s' '%dx%d' % image shape[ 2][ -1 ] '-f' 'rawvideo' '-pix fmt' 'rgba' if image shape[ 2 ] 4 else 'rgb 24 ' '-i' '-' filename]if logfile log file open filename + ' log' 'w+' else log file sp PIP Epopen params {'stdout' DEVNULL 'stderr' log file 'stdin' sp PIPE}if os name 'nt' popen params['creationflags'] 134217728 proc sp Popen cmd **popen params out err proc communicate image tostring if proc returncode err '\n' join [ '[ Movie Py] Running %s\n' % cmd 'WARNING thiscommandreturnedanerror ' err decode 'utf 8 ' ] raise IO Error err del proc,What does the code write to a file ?,an image,"Yes, it writes an image file.",relevance,3
q10,def ffmpeg write image filename image logfile False if image dtype 'uint 8 ' image image astype 'uint 8 ' cmd [get setting 'FFMPEG BINARY' '-y' '-s' '%dx%d' % image shape[ 2][ -1 ] '-f' 'rawvideo' '-pix fmt' 'rgba' if image shape[ 2 ] 4 else 'rgb 24 ' '-i' '-' filename]if logfile log file open filename + ' log' 'w+' else log file sp PIP Epopen params {'stdout' DEVNULL 'stderr' log file 'stdin' sp PIPE}if os name 'nt' popen params['creationflags'] 134217728 proc sp Popen cmd **popen params out err proc communicate image tostring if proc returncode err '\n' join [ '[ Movie Py] Running %s\n' % cmd 'WARNING thiscommandreturnedanerror ' err decode 'utf 8 ' ] raise IO Error err del proc,What does the code write to a file ?,an image,"Yes, it writes an image file.",clarity,2
q11,def ffmpeg write image filename image logfile False if image dtype 'uint 8 ' image image astype 'uint 8 ' cmd [get setting 'FFMPEG BINARY' '-y' '-s' '%dx%d' % image shape[ 2][ -1 ] '-f' 'rawvideo' '-pix fmt' 'rgba' if image shape[ 2 ] 4 else 'rgb 24 ' '-i' '-' filename]if logfile log file open filename + ' log' 'w+' else log file sp PIP Epopen params {'stdout' DEVNULL 'stderr' log file 'stdin' sp PIPE}if os name 'nt' popen params['creationflags'] 134217728 proc sp Popen cmd **popen params out err proc communicate image tostring if proc returncode err '\n' join [ '[ Movie Py] Running %s\n' % cmd 'WARNING thiscommandreturnedanerror ' err decode 'utf 8 ' ] raise IO Error err del proc,Does the code write an image to a file ?,Yes,"Yes, it writes an image file",accuracy,3
q11,def ffmpeg write image filename image logfile False if image dtype 'uint 8 ' image image astype 'uint 8 ' cmd [get setting 'FFMPEG BINARY' '-y' '-s' '%dx%d' % image shape[ 2][ -1 ] '-f' 'rawvideo' '-pix fmt' 'rgba' if image shape[ 2 ] 4 else 'rgb 24 ' '-i' '-' filename]if logfile log file open filename + ' log' 'w+' else log file sp PIP Epopen params {'stdout' DEVNULL 'stderr' log file 'stdin' sp PIPE}if os name 'nt' popen params['creationflags'] 134217728 proc sp Popen cmd **popen params out err proc communicate image tostring if proc returncode err '\n' join [ '[ Movie Py] Running %s\n' % cmd 'WARNING thiscommandreturnedanerror ' err decode 'utf 8 ' ] raise IO Error err del proc,Does the code write an image to a file ?,Yes,"Yes, it writes an image file",completeness,2
q11,def ffmpeg write image filename image logfile False if image dtype 'uint 8 ' image image astype 'uint 8 ' cmd [get setting 'FFMPEG BINARY' '-y' '-s' '%dx%d' % image shape[ 2][ -1 ] '-f' 'rawvideo' '-pix fmt' 'rgba' if image shape[ 2 ] 4 else 'rgb 24 ' '-i' '-' filename]if logfile log file open filename + ' log' 'w+' else log file sp PIP Epopen params {'stdout' DEVNULL 'stderr' log file 'stdin' sp PIPE}if os name 'nt' popen params['creationflags'] 134217728 proc sp Popen cmd **popen params out err proc communicate image tostring if proc returncode err '\n' join [ '[ Movie Py] Running %s\n' % cmd 'WARNING thiscommandreturnedanerror ' err decode 'utf 8 ' ] raise IO Error err del proc,Does the code write an image to a file ?,Yes,"Yes, it writes an image file",relevance,3
q11,def ffmpeg write image filename image logfile False if image dtype 'uint 8 ' image image astype 'uint 8 ' cmd [get setting 'FFMPEG BINARY' '-y' '-s' '%dx%d' % image shape[ 2][ -1 ] '-f' 'rawvideo' '-pix fmt' 'rgba' if image shape[ 2 ] 4 else 'rgb 24 ' '-i' '-' filename]if logfile log file open filename + ' log' 'w+' else log file sp PIP Epopen params {'stdout' DEVNULL 'stderr' log file 'stdin' sp PIPE}if os name 'nt' popen params['creationflags'] 134217728 proc sp Popen cmd **popen params out err proc communicate image tostring if proc returncode err '\n' join [ '[ Movie Py] Running %s\n' % cmd 'WARNING thiscommandreturnedanerror ' err decode 'utf 8 ' ] raise IO Error err del proc,Does the code write an image to a file ?,Yes,"Yes, it writes an image file",clarity,3
q12,def url add parameters url params if params fragments list urlparse url value parse qs fragments[ 4 ] value update params fragments[ 4 ] urlencode value url urlunparse fragments return url,What does the code add ?,parameters to url,Parameters,accuracy,2
q12,def url add parameters url params if params fragments list urlparse url value parse qs fragments[ 4 ] value update params fragments[ 4 ] urlencode value url urlunparse fragments return url,What does the code add ?,parameters to url,Parameters,completeness,1
q12,def url add parameters url params if params fragments list urlparse url value parse qs fragments[ 4 ] value update params fragments[ 4 ] urlencode value url urlunparse fragments return url,What does the code add ?,parameters to url,Parameters,relevance,3
q12,def url add parameters url params if params fragments list urlparse url value parse qs fragments[ 4 ] value update params fragments[ 4 ] urlencode value url urlunparse fragments return url,What does the code add ?,parameters to url,Parameters,clarity,2
q13,def url add parameters url params if params fragments list urlparse url value parse qs fragments[ 4 ] value update params fragments[ 4 ] urlencode value url urlunparse fragments return url,Does the code add parameters to url ?,Yes,"Yes, it adds parameters",accuracy,3
q13,def url add parameters url params if params fragments list urlparse url value parse qs fragments[ 4 ] value update params fragments[ 4 ] urlencode value url urlunparse fragments return url,Does the code add parameters to url ?,Yes,"Yes, it adds parameters",completeness,2
q13,def url add parameters url params if params fragments list urlparse url value parse qs fragments[ 4 ] value update params fragments[ 4 ] urlencode value url urlunparse fragments return url,Does the code add parameters to url ?,Yes,"Yes, it adds parameters",relevance,3
q13,def url add parameters url params if params fragments list urlparse url value parse qs fragments[ 4 ] value update params fragments[ 4 ] urlencode value url urlunparse fragments return url,Does the code add parameters to url ?,Yes,"Yes, it adds parameters",clarity,3
q14,def read sheets archive xml source archive read ARC WORKBOOK tree fromstring xml source for element in safe iterator tree '{%s}sheet' % SHEET MAIN NS attrib element attribattrib['id'] attrib[ '{%s}id' % REL NS ]del attrib[ '{%s}id' % REL NS ]if attrib['id'] yield attrib,For what purpose do worksheet titles and ids read ?,for a workbook,Reads worksheet titles and ids for a workbook.,accuracy,3
q14,def read sheets archive xml source archive read ARC WORKBOOK tree fromstring xml source for element in safe iterator tree '{%s}sheet' % SHEET MAIN NS attrib element attribattrib['id'] attrib[ '{%s}id' % REL NS ]del attrib[ '{%s}id' % REL NS ]if attrib['id'] yield attrib,For what purpose do worksheet titles and ids read ?,for a workbook,Reads worksheet titles and ids for a workbook.,completeness,3
q14,def read sheets archive xml source archive read ARC WORKBOOK tree fromstring xml source for element in safe iterator tree '{%s}sheet' % SHEET MAIN NS attrib element attribattrib['id'] attrib[ '{%s}id' % REL NS ]del attrib[ '{%s}id' % REL NS ]if attrib['id'] yield attrib,For what purpose do worksheet titles and ids read ?,for a workbook,Reads worksheet titles and ids for a workbook.,relevance,3
q14,def read sheets archive xml source archive read ARC WORKBOOK tree fromstring xml source for element in safe iterator tree '{%s}sheet' % SHEET MAIN NS attrib element attribattrib['id'] attrib[ '{%s}id' % REL NS ]del attrib[ '{%s}id' % REL NS ]if attrib['id'] yield attrib,For what purpose do worksheet titles and ids read ?,for a workbook,Reads worksheet titles and ids for a workbook.,clarity,3
q15,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,Does the code raise an error if it ca nt be found ?,Yes,Yes,accuracy,3
q15,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,Does the code raise an error if it ca nt be found ?,Yes,Yes,completeness,3
q15,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,Does the code raise an error if it ca nt be found ?,Yes,Yes,relevance,3
q15,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,Does the code raise an error if it ca nt be found ?,Yes,Yes,clarity,3
q16,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,What does the code raise if it ca nt be found ?,an error,Command Execution Error,accuracy,3
q16,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,What does the code raise if it ca nt be found ?,an error,Command Execution Error,completeness,2
q16,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,What does the code raise if it ca nt be found ?,an error,Command Execution Error,relevance,3
q16,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,What does the code raise if it ca nt be found ?,an error,Command Execution Error,clarity,3
q17,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,Does the code get a token if it ca nt be found ?,Yes,"Yes, it can't find a token.",accuracy,3
q17,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,Does the code get a token if it ca nt be found ?,Yes,"Yes, it can't find a token.",completeness,2
q17,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,Does the code get a token if it ca nt be found ?,Yes,"Yes, it can't find a token.",relevance,3
q17,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,Does the code get a token if it ca nt be found ?,Yes,"Yes, it can't find a token.",clarity,3
q18,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,What does the code get if it ca nt be found ?,a token,"
Token was not configured",accuracy,2
q18,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,What does the code get if it ca nt be found ?,a token,"
Token was not configured",completeness,3
q18,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,What does the code get if it ca nt be found ?,a token,"
Token was not configured",relevance,3
q18,def get token profile token os environ get 'VAULT TOKEN' profile get 'vault token' if token is None raise Command Execution Error ' Atokenwasnotconfigured' return token,What does the code get if it ca nt be found ?,a token,"
Token was not configured",clarity,1
q19,def is windows return sys platform startswith u'win',Are we using windows when ?,Yes,  Windows,accuracy,2
q19,def is windows return sys platform startswith u'win',Are we using windows when ?,Yes,  Windows,completeness,1
q19,def is windows return sys platform startswith u'win',Are we using windows when ?,Yes,  Windows,relevance,3
q19,def is windows return sys platform startswith u'win',Are we using windows when ?,Yes,  Windows,clarity,2
q20,def is windows return sys platform startswith u'win',What are we using when ?,windows,"
Yes (windows)",accuracy,2
q20,def is windows return sys platform startswith u'win',What are we using when ?,windows,"
Yes (windows)",completeness,1
q20,def is windows return sys platform startswith u'win',What are we using when ?,windows,"
Yes (windows)",relevance,3
q20,def is windows return sys platform startswith u'win',What are we using when ?,windows,"
Yes (windows)",clarity,2
q21,def empty urlconf request t Template EMPTY URLCONF TEMPLATE name ' Empty URL Conftemplate' c Context {'project name' settings SETTINGS MODULE split ' ' [0 ]} return Http Response Not Found t render c mimetype 'text/html',What does the code create ?,an empty urlconf 404 error response,Empty URL conf 404 response,accuracy,3
q21,def empty urlconf request t Template EMPTY URLCONF TEMPLATE name ' Empty URL Conftemplate' c Context {'project name' settings SETTINGS MODULE split ' ' [0 ]} return Http Response Not Found t render c mimetype 'text/html',What does the code create ?,an empty urlconf 404 error response,Empty URL conf 404 response,completeness,2
q21,def empty urlconf request t Template EMPTY URLCONF TEMPLATE name ' Empty URL Conftemplate' c Context {'project name' settings SETTINGS MODULE split ' ' [0 ]} return Http Response Not Found t render c mimetype 'text/html',What does the code create ?,an empty urlconf 404 error response,Empty URL conf 404 response,relevance,3
q21,def empty urlconf request t Template EMPTY URLCONF TEMPLATE name ' Empty URL Conftemplate' c Context {'project name' settings SETTINGS MODULE split ' ' [0 ]} return Http Response Not Found t render c mimetype 'text/html',What does the code create ?,an empty urlconf 404 error response,Empty URL conf 404 response,clarity,3
